id,name,prefecture,latitude,longitude,source
24009,奥伊勢おおだい,三重県,34.393871,136.408597,mlit
24010,美杉,三重県,34.511676,136.306807,mlit
24011,関宿,三重県,34.849508,136.3927,mlit
24012,伊勢志摩,三重県,34.359461,136.798913,mlit
24013,紀伊長島マンボウ,三重県,34.217244,136.346659,mlit
24014,あやま,三重県,34.844567,136.170996,mlit
24015,いが,三重県,34.837136,136.253402,mlit
24016,津かわげ,三重県,34.796707,136.517991,mlit
24017,熊野・花の窟,三重県,33.878939,136.092541,mlit
24018,熊野・板屋九郎兵衛の里,三重県,33.876518,135.915236,mlit
25001,あいの土山,滋賀県,34.92779,136.295675,mlit
25002,くつき新本陣,滋賀県,35.351089,135.915648,mlit
25003,しんあさひ風車村,滋賀県,35.35045,136.067033,mlit
25004,東近江市あいとうマーガレットステーション,滋賀県,35.109719,136.258767,mlit
25005,びわ湖大橋米プラザ,滋賀県,35.124628,135.928183,mlit
25006,近江母の郷,滋賀県,35.343272,136.27773,mlit
25007,こんぜの里りっとう,滋賀県,34.968382,136.03912,mlit
25008,湖北みずどりステーション,滋賀県,35.445013,136.190765,mlit
25009,草津,滋賀県,35.070032,135.939251,mlit
25010,竜王かがみの里,滋賀県,35.085777,136.079297,mlit
25011,アグリの郷栗東,滋賀県,35.038734,136.001537,mlit
25012,マキノ追坂峠,滋賀県,35.481102,136.083039,mlit
25013,藤樹の里あどがわ,滋賀県,35.326199,136.030009,mlit
25014,伊吹の里,滋賀県,35.396841,136.370985,mlit
25015,塩津海道あぢかまの里,滋賀県,35.520593,136.162805,mlit
25016,せせらぎの里こうら,滋賀県,35.201844,136.275557,mlit
25017,妹子の郷,滋賀県,35.159802,135.90155,mlit
25018,奥永源寺 渓流の里,滋賀県,35.105711,136.371792,mlit
25019,アグリパーク竜王,滋賀県,35.043655,136.145266,mlit
25020,浅井三姉妹の郷,滋賀県,35.430051,136.305429,mlit
26001,舟屋の里伊根,京都府,35.674635,135.291088,mlit
26002,シルクのまち　かや,京都府,35.481558,135.093626,mlit
26003,てんきてんき丹後,京都府,35.739004,135.105239,mlit
26004,和,京都府,35.270249,135.397559,mlit
26005,ガレリアかめおか,京都府,35.014544,135.566682,mlit
26006,丹波マーケス,京都府,35.154813,135.428705,mlit
26007,瑞穂の里・さらびき,京都府,35.1673,135.361385,mlit
26008,農匠の郷やくの,京都府,35.33837,134.929796,mlit
26009,舞鶴港とれとれセンター,京都府,35.450349,135.314507,mlit
26010,京都新光悦村,京都府,35.123886,135.482213,mlit
26011,丹後王国「食のみやこ」,京都府,35.674655,135.068103,mlit
26012,美山ふれあい広場,京都府,35.277121,135.588035,mlit
26013,ウッディー京北,京都府,35.155835,135.633108,mlit
26014,くみはまSANKAIKAN,京都府,35.630467,134.931947,mlit
26015,スプリングスひよし,京都府,35.152424,135.51781,mlit
26016,京丹波　味夢の里,京都府,35.149554,135.426755,mlit
26017,海の京都　宮津,京都府,35.538336,135.193979,mlit
26018,お茶の京都　みなみやましろ村,京都府,34.765472,136.024007,mlit
27001,ちはやあかさか,大阪府,34.464276,135.625936,mlit
27002,近つ飛鳥の里太子,大阪府,34.516787,135.658405,mlit
27003,能勢（くりの郷）,大阪府,34.956657,135.400992,mlit
27004,かなん,大阪府,34.478438,135.617062,mlit
27005,しらとりの郷・羽曳野,大阪府,34.533043,135.587747,mlit
27006,いずみ山愛の里,大阪府,34.423154,135.483,mlit
27007,とっとパーク小島,大阪府,34.31511,135.099919,mlit
27008,愛彩ランド,大阪府,34.422556,135.42543,mlit
27009,みさき,大阪府,34.325936,135.17379,mlit
27010,奥河内くろまろの郷,大阪府,34.435966,135.551096,mlit
28001,はが,兵庫県,35.201623,134.522188,mlit
28002,あさご,兵庫県,35.247009,134.803884,mlit
28003,ちくさ,兵庫県,35.107958,134.441875,mlit
28004,神鍋高原,兵庫県,35.499,134.675082,mlit
28005,村岡ファームガーデン,兵庫県,35.461843,134.602902,mlit
28006,やぶ,兵庫県,35.382421,134.815914,mlit
28007,但馬楽座,兵庫県,35.379318,134.783912,mlit
28008,みなみ波賀,兵庫県,35.148305,134.539822,mlit
28009,しんぐう,兵庫県,34.922122,134.537084,mlit
28010,杉原紙の里・多可,兵庫県,35.18896,134.930123,mlit
28011,あおがき,兵庫県,35.241267,135.009844,mlit
28012,ハチ北,兵庫県,35.411442,134.599809,mlit
28013,あわじ,兵庫県,34.601354,135.00942,mlit
28014,みき,兵庫県,34.787342,134.977205,mlit
28015,うずしお,兵庫県,34.242027,134.65978,mlit
28016,播磨いちのみや,兵庫県,35.088518,134.588208,mlit
28017,フレッシュあさご,兵庫県,35.21267,134.794552,mlit
28018,宿場町ひらふく,兵庫県,35.044789,134.369443,mlit
28019,あゆの里　矢田川,兵庫県,35.556569,134.570677,mlit
28020,とうじょう,兵庫県,34.894079,135.075646,mlit
28021,いながわ,兵庫県,34.919343,135.351759,mlit
28022,東浦ターミナルパーク,兵庫県,34.537447,134.992378,mlit
28023,北はりまエコミュージアム,兵庫県,35.007794,134.987129,mlit
28024,あいおい白龍城,兵庫県,34.804286,134.461841,mlit
28025,淡河,兵庫県,34.813904,135.097418,mlit
28026,丹波おばあちゃんの里,兵庫県,35.166391,135.116725,mlit
28027,但馬のまほろば,兵庫県,35.311303,134.870108,mlit
28028,ようか但馬蔵,兵庫県,35.393994,134.742487,mlit
28029,みつ,兵庫県,34.779899,134.523245,mlit
28030,あまるべ,兵庫県,35.649119,134.56012,mlit
28031,福良,兵庫県,34.25564,134.719256,mlit
28032,山田錦発祥のまち・多可,兵庫県,35.059012,134.918762,mlit
28033,神戸フルーツ・フラワーパーク大沢,兵庫県,34.850249,135.190522,mlit
